iso3,country,age_cat,age_desc,daly_scenario,dalys_death,disc_rate,comment,dalys_case,dalys_hospital,dalys_icu
PAK,pakistan,1,0 to 4,high,25.66112854,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,2,5 to 9,high,25.00371594,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,3,10 to 14,high,23.63823862,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,4,15 to 19,high,22.06025262,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,5,20 to 24,high,20.84644347,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,6,25 to 29,high,19.68193763,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,7,30 to 34,high,18.36879314,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,8,35 to 39,high,16.9779828,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,9,40 to 44,high,15.57362891,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,10,45 to 49,high,14.03296785,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,11,50 to 54,high,12.37422854,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,12,55 to 59,high,10.64723042,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,13,60 to 64,high,8.92524821,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,14,65 to 69,high,7.349722539,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,15,70 to 74,high,6.114509708,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,16,75+,high,4.194935914,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,1,0 to 4,low,22.33089403,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,2,5 to 9,low,21.92315104,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,3,10 to 14,low,20.65162708,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
