iso3, start, end, era
AGO, 2020-03-15, 2020-04-05, pre
AGO, 2020-04-19, 2020-05-19, post
BDI, 2020-03-29, 2020-05-17, pre
BDI, 2020-05-31, 2020-07-01, post
BDI, 2020-12-27, 2021-01-15, pre
BDI, 2021-01-29, 2021-02-28, post
BEN, 2020-03-15, 2020-04-26, pre
BEN, 2020-05-10, 2020-06-09, post
BEN, 2021-01-03, 2021-01-31, pre
BEN, 2021-02-14, 2021-02-21, post
BFA, 2020-03-08, 2021-03-22, pre
BFA, 2020-04-05, 2021-05-05, post
BFA, 2020-11-15, 2020-12-06, pre
BFA, 2020-12-20, 2021-01-19, post
BWA, 2020-03-15, 2020-04-05, pre
BWA, 2020-04-19, 2020-05-19, post
